Year,Month,"Species","Metric Tons","Pounds","$"
"1990","Jan","SALMON, CHINOOK","              29.9","          65,899","         108,515"
"1991","Jan","SALMON, CHINOOK","              20.0","          44,126","          76,895"
"1992","Jan","SALMON, CHINOOK","              21.0","          46,301","          59,990"
"1993","Jan","SALMON, CHINOOK","               3.5","           7,745","          11,428"
"1994","Jan","SALMON, CHINOOK","               4.7","          10,435","          15,674"
"1995","Jan","SALMON, CHINOOK","               1.3","           2,926","           4,118"
"1997","Jan","SALMON, CHINOOK","               0.8","           1,789","           1,816"
"1999","Jan","SALMON, CHINOOK","               0.4","             977","           1,365"
"2014","Jan","SALMON, CHINOOK","               4.2","           9,287","          49,522"
"2015","Jan","SALMON, CHINOOK","               2.0","           4,496","          24,196"
"1990","Feb","SALMON, CHINOOK","              45.1","          99,395","         308,707"
"1991","Feb","SALMON, CHINOOK","              54.8","         120,844","         379,706"
"1992","Feb","SALMON, CHINOOK","              27.2","          60,075","         132,996"
"1993","Feb","SALMON, CHINOOK","               5.3","          11,617","          23,786"
"1994","Feb","SALMON, CHINOOK","               2.0","           4,350","           8,559"
"1995","Feb","SALMON, CHINOOK","               1.2","           2,581","           3,880"
"1996","Feb","SALMON, CHINOOK","               2.4","           5,251","           7,604"
"1997","Feb","SALMON, CHINOOK","               0.9","           1,881","           2,525"
"2014","Feb","SALMON, CHINOOK","               1.7","           3,822","          19,943"
"2015","Feb","SALMON, CHINOOK","               3.9","           8,528","          43,838"
"1990","Mar","SALMON, CHINOOK","              33.5","          73,762","         200,535"
"1991","Mar","SALMON, CHINOOK","               9.6","          21,117","          51,185"
"1992","Mar","SALMON, CHINOOK","               8.1","          17,769","          24,661"
"1993","Mar","SALMON, CHINOOK","               5.3","          11,589","          24,034"
"1994","Mar","SALMON, CHINOOK","               6.6","          14,600","          48,693"
"1995","Mar","SALMON, CHINOOK","               0.7","           1,596","           3,046"
"1996","Mar","SALMON, CHINOOK","               0.9","           2,093","           2,805"
"1997","Mar","SALMON, CHINOOK","               0.1","             330","           1,152"
"1999","Mar","SALMON, CHINOOK","               0.1","             170","             260"
"2014","Mar","SALMON, CHINOOK","               2.1","           4,666","          33,685"
"2015","Mar","SALMON, CHINOOK","               4.8","          10,506","          98,194"
"1990","Apr","SALMON, CHINOOK","              70.0","         154,298","         431,136"
"1991","Apr","SALMON, CHINOOK","              27.2","          59,924","         117,237"
"1992","Apr","SALMON, CHINOOK","              28.7","          63,340","         124,170"
"1993","Apr","SALMON, CHINOOK","              14.1","          31,131","          53,326"
"1994","Apr","SALMON, CHINOOK","               8.8","          19,350","          47,585"
"1995","Apr","SALMON, CHINOOK","               4.3","           9,462","          27,740"
"1996","Apr","SALMON, CHINOOK","              18.3","          40,252","          64,568"
"1997","Apr","SALMON, CHINOOK","              47.9","         105,650","         289,122"
"1998","Apr","SALMON, CHINOOK","               0.4","             855","           1,912"
"2014","Apr","SALMON, CHINOOK","               6.4","          14,027","         102,815"
"2015","Apr","SALMON, CHINOOK","               7.1","          15,545","         116,997"
"1990","May","SALMON, CHINOOK","             181.4","         399,989","         859,988"
"1991","May","SALMON, CHINOOK","             118.2","         260,607","         610,402"
"1992","May","SALMON, CHINOOK","             194.8","         429,409","         869,381"
"1993","May","SALMON, CHINOOK","             119.1","         262,614","         518,508"
"1994","May","SALMON, CHINOOK","               9.2","          20,216","          51,656"
"1995","May","SALMON, CHINOOK","               5.9","          13,093","          39,775"
"1996","May","SALMON, CHINOOK","              10.4","          22,929","          37,688"
