time.UTC,air.degC,slp.millibars,sst.degC,vwnd.m/s,wspd3.m3/s3,Year
1964-01-01,5.32666666666667,1019.96333333333,12.055,-5.48333333333333,617.666666666667,1964
1964-02-01,11.0866666666667,1014.36333333333,14.41,-1.89666666666668,644.5,1964
1964-03-01,8.73333333333333,1019.25,13.0066666666667,-2.06666666666667,268.333333333333,1964
1964-04-01,14.33,1011.64,14.46,2.53,881.166666666667,1964
1964-05-01,18.645,1016.14,17.685,0.27,205.75,1964
1964-06-01,22.015,1012.195,20.48,-7.385,744.5,1964
1964-07-01,23.845,1011.575,22.46,-3.875,331.75,1964
1964-08-01,22.765,1015.105,24.76,-2.18500000000001,220.75,1964
1964-09-01,24.8066666666667,1011.72666666667,23.44,-5.135,509.75,1964
1964-10-01,20.065,1018.84,20.505,-0.94,381.5,1964
1964-11-01,20.155,1016.825,18.04,1.14,355.25,1964
1964-12-01,14.275,1018.165,16.49,2.95,1395.25,1964
1965-01-01,12.915,1011.59,14.52,-0.36,931.25,1965
1965-02-01,9.57333333333333,1013.05666666667,13.2033333333333,-5.03,1832.83333333333,1965
1965-03-01,10.395,1014.315,13.66,-5.595,924,1965
1965-04-01,15.05,1008.78666666667,15.2366666666667,2.42,661,1965
1965-05-01,19.475,1012.815,18.09,1.2,201.5,1965
1965-06-01,26.3133333333333,1013.49333333333,21.3533333333333,-2.4,157,1965
1965-07-01,25.37,1011.39,22.79,-0.695,152,1965
1965-08-01,22.695,1012.585,22.26,-3.865,417.75,1965
1965-09-01,21.5466666666667,1016.03666666667,21.9333333333333,-3.81666666666667,479.333333333333,1965
1965-10-01,17.06,1019.265,19.6,-6.53,1627.5,1965
1965-11-01,16.4433333333333,1015.82666666667,17.8266666666667,2.43666666666667,321,1965
1965-12-01,11.79,1017.6,15.16,1.52,423,1965
1966-01-01,10.3033333333333,1012.60333333333,13.3566666666667,0.91,1436,1966
1966-02-01,14.03,1020.045,14.015,-0.16,684.25,1966
1966-03-01,11.465,1013.34,12.8133333333333,-1.76,1434.5,1966
1966-04-01,16.1933333333333,1010.31,15.26,-1.66333333333333,228.833333333333,1966
1966-05-01,17.99,1017.07333333333,17.84,0.653333333333333,406.5,1966
1966-06-01,20.25,1010.89,19.42,-3.59,537,1966
1966-07-01,25.2866666666667,1007.7,23.2433333333333,-1.42333333333333,228.333333333333,1966
1966-08-01,23.8833333333333,1015.03,24.3633333333333,-4.93,373,1966
1966-09-01,21.5566666666667,1014.18666666667,22.9,-5.83,1101.16666666667,1966
1966-10-01,22.6766666666667,1011.61,21.59,2.89333333333333,249.833333333333,1966
1966-11-01,16.8833333333333,1015.49666666667,19.7166666666667,0.11,607.333333333333,1966
1966-12-01,11.12,1008.48666666667,16.03,-2.18,833.166666666667,1966
1967-01-01,10.3933333333333,1015.94333333333,14.0633333333333,-2.86666666666667,1797.66666666667,1967
1967-02-01,8.65333333333333,1020.15333333333,13.7366666666667,-2.68333333333333,691.833333333333,1967
1967-03-01,9.585,1016.45,13.175,-4.54,1065,1967
1967-04-01,14.3766666666667,1011.50333333333,14.9033333333333,-0.06,546.5,1967
1967-05-01,17.6833333333333,1014.30666666667,16.4333333333333,2.09,346,1967
1967-06-01,22.735,1015.25,21.3,-4.12,553.75,1967
1967-07-01,24.3066666666667,1011.86,23.37,-6.5,771.833333333333,1967
1967-08-01,25.3433333333333,1013.435,25.2766666666667,-6.03666666666667,575.333333333333,1967
1967-09-01,22.145,1013.405,19.77,-3.235,282.75,1967
